itemname,iteminfo,itemprice
Nissan Presage Highway Star ..FREE ON ROAD... 2008,"76,000km, Station Wagon, 3490cc petrol engine, automatic","$9,990"
Nissan Dualis 20S 2009,"64,320km, RV/SUV, 2000cc petrol engine, automatic","$16,990"
Mitsubishi Pajero Short VR-2 2007,"66,053km, RV/SUV, 3800cc petrol engine, automatic","$21,990"
Honda Fit HYBRID 2012,"76,000km, Hatchback, 1300cc hybrid engine, automatic",
Holden Commodore Hsv Clubsport 2003,"229,000km, Sedan, 5665cc petrol engine, automatic",
Land Rover Discovery 1997,"197,932km, RV/SUV, 3947cc petrol engine, automatic","$1,650 "
Nissan Pulsar 1997,"214,000km, Sedan, 1497cc petrol engine, automatic",
Holden Spark LS 2017,"< 1000km, Hatchback, 1399cc, automatic","$16,500"
Holden Colorado 4X4 LTZ 2014,"64,590km, Ute, 2800cc diesel engine, automatic","$36,995"
Holden Commodore VX Berlina 2001,"332,460km, Sedan, 3791cc petrol engine, automatic","$3,995"
Hyundai i30 Gd 1.8 Elite A6 2013,"33,000km, Hatchback, 1797cc petrol engine, tiptronic","$22,990"
Nissan Navara 2.5 2WD MT DIESEL 2007,"248,888km, Ute, 2488cc diesel engine, manual","$17,995"
Ford Falcon BA FAIRMONT GHIA V8 2004,"203,144km, Sedan, 5408cc petrol engine, automatic","$9,995"
Ford Falcon BA XR6 Leather! 2003,"260,205km, Sedan, 3984cc petrol engine, automatic","$6,995"
Volkswagen Golf TSI Low kms! 2009,"98,018km, Hatchback, 1380cc petrol engine, automatic","$10,995"
Volvo XC90 2.5T AWD 2005,"151,000km, RV/SUV, 2500cc petrol engine, tiptronic",
Jaguar XF SD 3.0D/8AT/Sl/4DR/5 2017,"< 1000km, Sedan, 2995cc diesel engine, automatic","$92,500"
Audi A4 2006,"98,761km, Station Wagon, 1980cc petrol engine, automatic","$11,990"
Land Rover Range Rover SDV8 Autobiography 2017,"8,490km, RV/SUV, 4367cc diesel engine, automatic","$209,990"
Nissan Wingroad 2005,"198,456km, Station Wagon, 1498cc petrol engine, automatic",
Holden Commodore Executive V6 2004,"273,543km, Station Wagon, 3791cc petrol engine, automatic",
Volkswagen Jetta Tdi Bluemotion Manual 2009,"77,624km, Sedan, 1896cc diesel engine, manual",
Ford Falcon BF2 XR8 2008,"157,600km, Sedan, 5408cc petrol engine, automatic",
Mitsubishi Outlander Leather G-Limited 4WD 7- 2006,"64,250km, RV/SUV, 2400cc petrol engine, automatic",
Mitsubishi Colt 1.5L Alloys 2006,"37,400km, Hatchback, 1500cc petrol engine, automatic",
Nissan Vanette 1988,"217,000km, Van, 1171cc petrol engine, manual",
Toyota Wish 2004,"120,000km, RV/SUV, 1794cc petrol engine, automatic",
Toyota Hiace Wide Body 2008,"137,016km, Van, 2690cc petrol engine, automatic","$22,500 "
Nissan Pulsar Hatchback 1996,"223,000km, Hatchback, 1496cc petrol engine, automatic","$1,350 "
Morris Minor Convertible 1958,"39,000km, Convertible, 1000cc petrol engine, manual",
Ford Cortina MK2 1968,"2,000km, Sedan, 1600cc petrol engine, manual",
Toyota Land Cruiser Prado TZ 3.0TD 4WD 1996,"164,002km, RV/SUV, 2982cc diesel engine, automatic","$17,991"
Mercedes-Benz Viano Ambiente Cdi NZ new 2006,"45,000km, RV/SUV, 2150cc diesel engine, tiptronic",
Alfa Romeo 147 2007,"95,000km, Hatchback, 1970cc petrol engine, manual","$7,250"
Toyota Corolla 2004,"154,000km, Hatchback, 1490cc petrol engine, automatic",
Toyota Raum 2006,"75,755km, RV/SUV, 1496cc petrol engine, automatic","$6,995"
Peugeot 205 GTI 1.6 1988,"121,596km, Hatchback, 1600cc petrol engine, manual",
Chevrolet Blazer - 4x4 1993,"101,000km, RV/SUV, 5700cc petrol engine, automatic",
Toyota Land Cruiser Prado VX 2.8D 6AT 4WD ... 2017,"< 1000km, Station Wagon, 2755cc diesel engine, automatic","$75,990"
Mazda Axela 2012,"28,814km, Sedan, 1998cc petrol engine, automatic","$15,990"
Toyota RAV4 2.5L GXL AWD - Ex Demonstrator 2017,"< 1000km, RV/SUV, 2494cc petrol engine, automatic","$41,990"
Toyota Prius ZR FWD 1.8P HYBRID HATCH 2017,"< 1000km, Hatchback, 1798cc petrol engine, automatic","$47,990"
Renault Trafic III LWB LR M 2017,"< 1000km, Van, 2000cc diesel engine, manual","$49,990"
Nissan Caravan NV350 2.5 Turbo Diesel **5 ... 2012,"172,000km, Van, 2500cc diesel engine, automatic","$19,990"
Isuzu MU 3.2 4WD Auto 2002,"156,100km, RV/SUV, 3160cc petrol engine, automatic","$6,990"
Nissan X-Trail ST 2.5P/6CVT/SW/5DR 2016,"29,300km, Station Wagon, 2488cc petrol engine, automatic","$27,990"
Toyota Hilux D/C 2003,"190,000km, Ute, 2986cc diesel engine, manual","$12,995"
Mitsubishi Lancer Sei 1996,"188,105km, Sedan, 1597cc petrol engine, automatic",
"Mazda Axela 1.5 ""Low Kms"" 2011","17,280km, Sedan, 1500cc petrol engine, automatic","$13,990 "
Toyota Belta X 2006,"36,956km, Sedan, 1300cc petrol engine, automatic","$7,889"
Nissan Juke 15RX with FREE WARRANTY 2010,"69,118km, RV/SUV, 1500cc petrol engine, automatic","$16,899"
Honda Civic TYPE R EURO 2010,"39,053km, Hatchback, 2000cc petrol engine, manual","$28,989"
Honda Fit 1.5T 2004,"72,195km, Hatchback, 1500cc petrol engine, automatic","$6,989"
Toyota Ist 1.3F L-ED HID SELE II 2004,"83,488km, Hatchback, 1300cc petrol engine, automatic","$6,989"
Toyota Ractis G 2008,"47,990km, Hatchback, 1500cc petrol engine, automatic","$8,989"
Toyota Land Cruiser Prado TX with FREE WAR... 2012,"33,770km, Van, 2700cc petrol engine, automatic","$46,689"
Subaru Legacy TOURINGWAGON 2.0GT 2007,"43,834km, Sedan, 2000cc petrol engine, automatic","$18,589"
Volkswagen Tiguan TRACK AND FIELD 2008,"44,028km, RV/SUV, 2000cc petrol engine, automatic","$22,989"
Nissan Tiida 15M 2005,"111,977km, Hatchback, 1500cc petrol engine, automatic","$7,389"
Honda Fit HYBRID NAVI PREMIUM SELECTION 2010,"69,132km, Hatchback, 1300cc petrol engine, automatic","$11,989"
Audi Q7 TDI 2013,"23,000km, RV/SUV, 2967cc diesel engine, automatic","$64,990"
Honda Fit HYBRID 2011,"75,967km, Hatchback, 1300cc petrol engine, automatic","$10,989"
Toyota Prius S TOURING SELECTION 2009,"62,561km, Hatchback, 1800cc petrol engine, automatic","$17,989"
Lexus RX 450h with FREE WARRANTY 2009,"43,421km, RV/SUV, 3500cc petrol engine, automatic","$36,989"
Toyota Corolla FIELDER X HID 40TH LIMITED 2006,"73,465km, Van, 1500cc petrol engine, automatic","$9,816"
Toyota Estima AERAS G SPECIAL EDITION 2008,"65,960km, Van, 3500cc petrol engine, automatic","$19,689"
Nissan Presage 250 HIGHWAY STAR 2006,"82,342km, Van, 2500cc petrol engine, automatic","$10,289"
Toyota 86 G (VERY LOW MILEAGE) 2014,"19,010km, Coupe, 2000cc petrol engine, automatic","$27,989"
Honda Fit L with FREE WARRANTY 2008,"83,300km, Hatchback, 1300cc petrol engine, automatic","$8,989"
Honda Accord 20EL 2005,"76,400km, Sedan, 2000cc petrol engine, automatic","$9,089"
Toyota Vitz JUERA (SPECIAL COLOUR) 2011,"49,731km, Hatchback, 1300cc petrol engine, automatic","$11,989"
Mercedes-Benz A 200 ELEGANCE with WARRANTY 2005,"93,598km, Hatchback, 2000cc petrol engine, automatic","$7,989"
Subaru Legacy TOURINGWAGON 2.5I L PACKAGE 2010,"50,151km, Station Wagon, 2500cc petrol engine, automatic","$19,589"
Subaru Legacy TOURINGWAGON 2.5I S PACKAGE 2009,"62,492km, Station Wagon, 2500cc petrol engine, automatic","$21,989"
Mercedes-Benz A 170 2006,"49,398km, Hatchback, 1700cc petrol engine, automatic","$8,989"
Mercedes-Benz A 200 ELEGANCE 2006,"63,440km, Hatchback, 2000cc petrol engine, automatic","$8,989"
Nissan Note 15X 2009,"60,170km, Hatchback, 1500cc petrol engine, automatic","$7,989"
Toyota Aqua 0% deposit from $51/wk 2012,"125,000km, Hatchback, 1490cc hybrid engine, automatic",
Toyota Mark X 250G FOUR F PACKAGE 2005,"73,868km, Sedan, 2500cc petrol engine, automatic","$9,989"
Honda Civic MUGEN (GULLIVER EDITION) 2007,"35,211km, Sedan, 2000cc petrol engine, manual","$54,989"
Subaru BRZ S with FREE WARRANTY 2012,"39,520km, Van, 2000cc petrol engine, automatic","$29,989"
Mazda Axela SPORT 23S SOUND LEATHER LTD 2005,"46,800km, Hatchback, 2300cc petrol engine, automatic","$12,389"
Toyota Prius L with 1YR WARRANTY 2010,"47,546km, Hatchback, 1800cc petrol engine, automatic","$17,989"
"Mercedes-Benz GLA 250 4WD, SUN ROOF 2014","49,836km, RV/SUV, 2000cc petrol engine, automatic","$42,989"
Mercedes-Benz A 170 M.BENZ 2007,"55,008km, Hatchback, 1700cc petrol engine, automatic","$8,989"
Nissan X-Trail with Roof rack 2008,"80,659km, RV/SUV, 2000cc petrol engine, automatic","$15,225"
Nissan March 12E 2006,"40,608km, Hatchback, 1200cc petrol engine, automatic","$6,989"
Toyota Hiace GRAND CABIN (10 PASSENGER) 2014,"51,029km, Van, 2700cc petrol engine, automatic","$47,184"
Subaru Impreza 15S with FREE WARRANTY 2008,"45,793km, Hatchback, 1500cc petrol engine, automatic","$11,854"
Honda Fit HYBRID 2011,"60,567km, Hatchback, 1300cc petrol engine, automatic","$11,989"
Toyota Mark X 300G PREMIUM 2004,"72,977km, Sedan, 3000cc petrol engine, automatic","$9,989"
Mercedes-Benz E-Class M.BENZ E350 AVANT-GARDE 2010,"56,714km, Sedan, 3500cc petrol engine, automatic","$29,989"
BMW 320i 2008,"44,826km, Sedan, 2000cc petrol engine, automatic","$12,989"
Toyota Sienta X LTD 2006,"69,179km, Hatchback, 1300cc petrol engine, automatic","$8,989"
Nissan Note 15X 2008,"51,920km, Hatchback, 1500cc petrol engine, automatic","$8,489"
Nissan Juke 15RX 2010,"66,404km, RV/SUV, 1500cc petrol engine, automatic","$15,514"
Mazda MPV 2.3L 7 Seats with WARRANTY 2008,"117,977km, Van, 2300cc petrol engine, automatic","$15,925"
Audi A4 3.2 FSI QUATTRO with 1YR WARRANTY 2008,"83,262km, Van, 3200cc petrol engine, automatic","$22,889"
Mercedes-Benz A 170 ELEGANCE LIMITED with ... 2006,"84,300km, Hatchback, 1700cc petrol engine, automatic","$7,989"
Mercedes-Benz B 170 M.BENZ 2007,"71,718km, Hatchback, 1700cc petrol engine, automatic","$8,689"
Nissan Serena RIDER with FREE WARRANTY 2005,"66,585km, Van, 2000cc petrol engine, automatic","$14,089"
HSV GTS 25th Year edition 2012,"66,000km, Sedan, 6200cc petrol engine, automatic","$64,990"
"Toyota FJ Cruiser COLOR PACKAGE (4WD, LOW KM) 2011","11,537km, RV/SUV, 4000cc petrol engine, automatic","$43,989"
Subaru Outback 2.5I S STYLE LIMITED 2007,"54,794km, Station Wagon, 2500cc petrol engine, automatic","$16,589"
Mazda Axela SPORT 20S with FREE WARRANTY 2006,"58,059km, Hatchback, 2000cc petrol engine, automatic","$13,589"
Nissan Juke 15RX with LOW MILEAGE 2010,"35,211km, RV/SUV, 1500cc petrol engine, automatic","$16,687"
Toyota Camry G with 1YR WARRANTY 2007,"53,012km, Sedan, 2400cc petrol engine, automatic","$12,389"
Nissan Teana 230JM 2006,"13,475km, Sedan, 2300cc petrol engine, automatic","$10,689"
Nissan X-Trail 25X 4WD with 1 YR WARRANTY 2008,"79,833km, RV/SUV, 2500cc petrol engine, automatic","$17,989"
Mitsubishi Galant Fortis Super Exceed 2007,"110,000km, Sedan, 1998cc petrol engine, tiptronic",
Mazda Verisa DRESS UP PACKAGE (NON-CVT) 2006,"43,227km, Hatchback, 1500cc petrol engine, automatic","$9,389"
Nissan Teana 350JM 2006,"59,564km, Sedan, 3500cc petrol engine, automatic","$8,989"
Mazda Verisa SUPER LOW MILEAGE !!! 2004,"23,174km, Hatchback, 1500cc petrol engine, automatic","$7,989"
Mercedes-Benz A 170 2006,"85,330km, Hatchback, 1700cc petrol engine, automatic","$6,989"
Honda Fit G 2009,"90,833km, Hatchback, 1300cc petrol engine, automatic","$8,200"
Toyota Vellfire EXECUTIVE LOUNGE 2016,"11,692km, Van, 3500cc petrol engine, automatic","$95,889"
Volkswagen Tiguan TRACK AND FIELD 2009,"68,164km, RV/SUV, 2000cc petrol engine, automatic","$22,989"
Toyota Corolla FIELDER S 2006,"104,407km, Station Wagon, 1800cc petrol engine, automatic","$8,589"
Nissan Skyline 350GT TYPE-S 2008,"62,613km, Sedan, 3500cc petrol engine, automatic","$17,989"
Volkswagen Passat Variant3.2V64m 2006,"84,000km, Station Wagon, 3168cc petrol engine, tiptronic","$13,500"
Mercedes-Benz E 350 AVANTGARDE with SUNROOF 2009,"67,386km, Sedan, 3500cc petrol engine, automatic","$28,989"
Subaru Legacy Brighton 1995,"175,447km, Station Wagon, 1994cc petrol engine","$1,200 "
BMW 745i 2002,"220,702km, Sedan, 4390cc petrol engine, tiptronic",
Mazda 3 Sp25 2016,"38,000km, Hatchback, 2488cc petrol engine, automatic",
Toyota Caldina 2WD 2005,"105,000km, RV/SUV, 1794cc petrol engine, automatic","$9,500"
Toyota Raum 2005,"36,000km, Station Wagon, 1500cc petrol engine, automatic","$8,980"
BMW 320i 3 Series 2005,"96,500km, Sedan, 1995cc petrol engine, automatic","$7,300"
Toyota Mark-X Mark X 2006,"100,496km, Sedan, 2490cc petrol engine, automatic","$6,800"
BMW 318 TI 2002,"116,907km, Sedan, 1990cc petrol engine, automatic","$4,990"
Audi Q5 2.0 T Quattro 4WD 2011,"107,534km, Station Wagon, 1980cc petrol engine, automatic","$29,880"
Subaru Legacy I Sport 4WD 2010,"113,626km, Station Wagon, 2457cc petrol engine, automatic","$11,680"
Kia Sportage 4 WD 2.4 LITRE NZ NEW VERY CL... 2011,"141,063km, RV/SUV, 2359cc petrol engine, automatic","$15,800"
Ford Fiesta 1.6 Manual Low Ks 2010,"101,500km, Hatchback, 1596cc petrol engine, manual","$7,800 "
Subaru Legacy Outback 3.OR 2004,"96,384km, Station Wagon, 2999cc petrol engine, tiptronic",
Mitsubishi Pajero D 2000,"197,279km, RV/SUV, 3200cc diesel engine, automatic",
Holden Captiva Ltz 2013,"65,000km, RV/SUV, 2384cc petrol engine, automatic",
Nissan Serena 1999,"244,614km, RV/SUV, 1998cc petrol engine, automatic","$4,999 "
Ford Other Lincoln Town Car 4.6 V8 1996,"68,500km, Sedan, 4600cc petrol engine, automatic",
Holden SS VT Commodore 1997,"216,000km, Sedan, petrol engine, automatic","$7,000 "
BMW 116i No Deposit Finance TAP 2008,"35,514km, Hatchback, 1600cc petrol engine, automatic","$9,990"
Ford Falcon FG XR6 2008,"165,353km, Sedan, 4000cc petrol engine, automatic","$17,990"
Toyota Duet Low kms! 2002,"115,000km, Hatchback, 980cc petrol engine, automatic","$3,995"
Suzuki Swift XG 2010,"61,984km, Hatchback, 1240cc, automatic","$8,695"
Holden Commodore VF SS V REDLINE 2015,"24,500km, Station Wagon, 6000cc, automatic","$59,750"
Toyota Hiace SUPER GL 2006,"150,260km, Van, 2000cc petrol engine, automatic",
Dodge Viper RT/10 1995,"45,890km, Coupe, 7990cc petrol engine, manual",
Honda Odyssey 1998,"221,000km, Sedan, 150cc petrol engine, automatic",
Chevrolet Other ASTRO CAMPER 1991,"83,085km, Van, 4290cc petrol engine, automatic",
Jaguar XKR SUPERCHARGED 2003,"93,340km, Coupe, 4200cc petrol engine, automatic",
Toyota Starlet kp62 12a 1982,"1,500km, Hatchback, 1200cc petrol engine, manual","$8,500 "
Toyota Hiace wheel chair van 2005,"128,400km, Van, 2000cc petrol engine, automatic",
Dodge Ram 1500 1996,"81,699km, Ute, 5200cc petrol engine, automatic",
Dodge Ram 1500 4WD 1996,"103,080km, Ute, 5890cc petrol engine",
Honda Fit 2001,"133,000km, Hatchback, 1339cc petrol engine, automatic",
Nissan Murano 3.5 V6 4WD 2006,"123,968km, RV/SUV, 3500cc petrol engine, tiptronic","$12,995"
Ford Territory Sy Tx 2008,"163,159km, RV/SUV, 3984cc petrol engine, automatic",
Nissan Murano 2005,"202,861km, RV/SUV, 2cc petrol engine, automatic","$8,000 "
Honda Odyssey 1995,"282,761km, Station Wagon, 2156cc petrol engine",
Audi R8 Full History - Immaculate 2007,"86,000km, Coupe, 4200cc petrol engine, tiptronic",
Jaguar XJS Coupe 3.6L - LOW KM - STUNNING CAR 1992,"119,000km, Coupe, 3600cc petrol engine, automatic",
Honda Accord Euro 2007,"282,920km, Sedan, 2354cc petrol engine, automatic","$4,999 "
Chevrolet Blazer SILVERADO K10 1987,"237,000km, RV/SUV, 3500cc petrol engine, automatic",
Toyota Carib 1997,"363,221km, Station Wagon, 1760cc petrol engine, automatic","$1,100"
BMW 318ti AUTOMATIC 2003,"161,000km, Hatchback, 2000cc petrol engine, automatic","$3,100"
"Nissan Fairlady 350Z, 62kms 2005","62,743km, Coupe, 3500cc petrol engine, automatic","$15,991"
Holden Commodore ## BLUE BEAUTY ##SV8## 2005,"156,255km, Sedan, 5665cc petrol engine, automatic","$16,990"
Ford Ranger TD XL RC W/S 4WD 2008,"264,585km, Ute, 2953cc diesel engine, manual","$16,999"
Ford Falcon FG ## XR6 STUNNER ## 2008,"136,992km, Sedan, 3984cc petrol engine, automatic","$15,990"
Volkswagen Passat TSi R-Line DSG 118kW 2014,"55,000km, Station Wagon, 1798cc petrol engine, automatic","$25,990"
Toyota WiLL Vs 2001,"88,752km, Hatchback, 1794cc petrol engine, automatic",
Mazda Axela NO DEPOSIT FINANCE 2007,"135,485km, Hatchback, 1490cc petrol engine, automatic","$7,999"
Holden Captiva Maxx V6 2009,"95,500km, RV/SUV, 3200cc petrol engine, tiptronic","$14,999"
"Nissan Liberty 7 SEATS, REVERSING CAMERA 2003","185,000km, Station Wagon, 1998cc petrol engine, automatic","$2,500"
Mitsubishi Chariot Glxi 1997,"280,863km, RV/SUV, 1997cc petrol engine, automatic",$400
BMW 325i Convertable 1993,"157,202km, Convertible, 2495cc petrol engine",
Suzuki Grand Vitara Wjlxa 2007,"131,000km, RV/SUV, 1995cc petrol engine, automatic",
Peugeot 206 Gti180 2004,"64,954km, Sedan, 1998cc petrol engine, manual","$7,750 "
Mazda AXELA 5 speed manual *free delivery* 2007,"96,521km, Hatchback, 1500cc petrol engine, manual",
Toyota Altezza GREAT TRADE IN 1998,"290,159km, Sedan, 1988cc petrol engine, automatic","$2,499"
Land Rover Freelander 2 HSE I6 NZ New 2008,"133,500km, RV/SUV, 3192cc petrol engine, automatic","$14,999"
Skoda Superb Sedan Style 206Kw Tsi 2017,"< 1000km, Sedan, 1984cc petrol engine, automatic","$62,490"
Honda Accord CD8 1994,"207,335km, Coupe, 2200cc petrol engine, manual",
Ford Mustang 351 4V COBRA JET NZ NEW 1972,"110,000km, Coupe, 5700cc petrol engine, manual",
Toyota Caldina GT-T 1998,"237,587km, Station Wagon, 1998cc petrol engine, tiptronic",
Mitsubishi Outlander G SPEC - 7 seater 2007,"155,000km, RV/SUV, 2359cc petrol engine, tiptronic",
"Volkswagen Golf 79,000ks 2004","79,842km, Hatchback, 1998cc petrol engine, tiptronic",
Ford Other Jailbar 1947,"120,000km, Ute, 7000cc petrol engine, automatic",
Honda Accord Eurol 2006,"157,432km, Sedan, 2354cc petrol engine, automatic",
Holden Ute Hsv Maloo 2003,"137,000km, Ute, 5665cc petrol engine, manual",
Porsche Macan S Diesel - NZ New 2015,"29,800km, RV/SUV, 2967cc diesel engine, automatic","$104,990"
Holden Commodore VF2 SV6 2017,"< 1000km, Station Wagon, 3564cc petrol engine, automatic","$49,995"
Ford Thunderbird 1965,"70,000km, Coupe, 390cc petrol engine, automatic","$29,000 "
Holden Colorado LTZ DC PU 2013,"85,258km, Ute, 2776cc diesel engine, automatic","$36,995"
Holden Rodeo Lx Space Pu 2005,"224,788km, Ute, 2999cc diesel engine, manual",
Kia Sorento V6 4WD 2006,"241,747km, RV/SUV, 3497cc petrol engine, automatic","$6,990"
Skoda Octavia TSI 90 Combi 2012,"92,982km, Station Wagon, 1390cc petrol engine, automatic","$12,240"
"Toyota Vitz RS 1500cc Genuine 48,000km's 2010","48,370km, Hatchback, 1500cc petrol engine, automatic","$10,999"
Jeep Cherokee Grand Cherokee Limited 4WD 2015,"109,991km, RV/SUV, 3604cc petrol engine, automatic","$33,840"
Hyundai Santa Fe DM 4WD 2014,"200,027km, RV/SUV, 2199cc diesel engine, automatic","$19,290"
Honda CR-V RVI NZ NEW 4WD 2000,"121,105km, RV/SUV, 1973cc petrol engine, automatic","$6,995"
Isuzu Bighorn Xs 3.1D Intercooler 1995,"297,624km, RV/SUV, 3056cc diesel engine, manual","$6,900 "
Porsche 911 911 Targa 2003,"102,983km, Convertible, 3596cc petrol engine, manual",
Nissan Presage 7 seater 2003,"220,470km, Station Wagon, 2480cc petrol engine, automatic",
Mercedes-Benz E 55 AMG NZ NEW 2004,"161,000km, Sedan, 5439cc petrol engine, tiptronic",
Honda Accord Lxi 2000,"298,157km, Sedan, 2254cc petrol engine, automatic","$2,750 "
Toyota Highlander GXL 4WD 2016,"39,994km, RV/SUV, 3456cc petrol engine, automatic","$47,790"
Mazda Premacy ** 7 SEATER FAMILY CAR ** 2006,"76,273km, Station Wagon, 1990cc petrol engine, automatic","$7,490"
Toyota Ist 1.3L 5 Door Hatch 2004,"48,171km, Hatchback, 1299cc petrol engine, automatic","$9,995"
Toyota Yaris SX 1.5L 5 Door Hatchback 2016,"14,913km, Hatchback, 1497cc petrol engine, automatic","$20,990"
Skoda Rapid Tsi 2013,"125,000km, Sedan, 1390cc petrol engine, automatic",
Holden HSV Avalanche 2005,"224,000km, Station Wagon, 5700cc petrol engine",
Volkswagen Beetle 2004,"114,455km, Hatchback, 1980cc petrol engine, automatic","$7,900"
Ford Mondeo 2002,"278,000km, Sedan, 1989cc petrol engine, manual",
Mahindra Other CJ4A Jeep 1976,"54,376km, RV/SUV, lpg engine, manual","$6,750"
Mazda Axela 20S 2006,"139,000km, Hatchback, 2000cc petrol engine, automatic","$7,650"
Nissan AD EXPERT One&Only Offer!! 2010,"94,950km, Station Wagon, 1790cc petrol engine, automatic","$5,490"
Ford Ranger Td Xl Dc W/S 2012,"130,000km, Ute, 3199cc diesel engine, manual",
Suzuki Swift 1.3XG LIMITED 2007,"52,000km, Hatchback, 1300cc petrol engine, automatic","$5,950"
Mazda Demio 2004,"137,500km, Hatchback, 1355cc petrol engine, automatic","$3,500"
Toyota Caldina 2.0 Tz-G 1996,"209,598km, Station Wagon, 1995cc petrol engine, automatic","$2,400"
Ford Falcon XT FA 2006,"120,443km, Sedan, 3984cc petrol engine, automatic",
Mazda MPV Turbo 2006,"146,581km, Station Wagon, 2260cc petrol engine, tiptronic",
Toyota RAV4 Suv5 2011,"145,000km, RV/SUV, 2231cc diesel engine, manual",
Toyota Vitz s 2006,"83,000km, Hatchback, 1300cc petrol engine, automatic",
Mazda Demio Low Kms!! Non CVT 2008,"42,262km, Hatchback, 1348cc petrol engine, automatic","$6,495"
BMW 118i ==Only 35000KM== 2005,"35,000km, Hatchback, 2000cc petrol engine, automatic","$9,990"
Nissan Skyline GT250 2007,"70,681km, Sedan, 2500cc petrol engine, tiptronic","$12,980"
Suzuki SX4 1.5XG 2006,"112,400km, Hatchback, 1500cc petrol engine, automatic","$8,980"
Holden Combo MY9.5 XC 2012,"97,206km, Van, 1364cc petrol engine, manual","$8,180"
Toyota RAV4 4WD 2002,"129,658km, RV/SUV, 1998cc petrol engine, automatic","$6,300"
Subaru Legacy 4WD 2004,"175,019km, Station Wagon, 1994cc petrol engine, automatic","$4,690"
Toyota Land Cruiser Landcruiser VX LTD 4WD 2001,"210,569km, Station Wagon, 4663cc petrol engine, automatic","$19,880"
Mazda CX-5 XD 4WD 2012,"90,597km, RV/SUV, 2200cc diesel engine, automatic","$23,980"
Mitsubishi Pajero V6 3500 4WD 1994,"174,729km, Station Wagon, 3497cc petrol engine, automatic","$4,890"
Nissan X-Trail 2WD 2013,"165,037km, RV/SUV, 1997cc petrol engine, automatic","$12,880"
Toyota Auris 180G S Package 2008,"87,547km, Hatchback, 1800cc petrol engine, automatic","$10,980"
Alfa Romeo Giulietta QV 1.7P/6AT/HA/5DR/5 2016,"5,990km, Hatchback, 1742cc petrol engine, automatic","$39,990"
Toyota Blade Base 2008,"71,964km, Hatchback, 2400cc petrol engine, automatic","$10,990"
BMW 320i 2008,"46,171km, Sedan, 2000cc petrol engine, automatic","$10,995"
Mazda Premacy * Stunning Car with Beautifu... 2007,"109,886km, Station Wagon, 1998cc petrol engine, automatic","$5,680"
Honda Fit G Sport 2010,"44,524km, Hatchback, 1300cc petrol engine, automatic","$10,490"
BMW 118i ==Only 41000KM== 2006,"41,000km, Hatchback, 2000cc petrol engine, automatic","$9,990"
Mazda Verisa L Style 2008,"53,199km, Hatchback, 1490cc petrol engine, automatic","$9,990"
Audi S4 Avant 2012,"71,479km, Station Wagon, 2994cc petrol engine",
Mazda BT-50 Gsx D/C W/S 2015,"82,157km, Ute, 3198cc diesel engine, automatic","$33,900 "
Toyota Corolla GLX 1993,"322,261km, Hatchback, 1600cc petrol engine, manual",
Subaru WRX Impreza 1999,"169,000km, Hatchback, 2000cc petrol engine, manual",
Volvo S60 2001,"106,400km, Sedan, 2400cc petrol engine, automatic","$5,000 "
Hyundai Santa Fe R CRDi Elitea 6 2012,"149,169km, RV/SUV, 2199cc diesel engine, automatic",
Nissan Serena 1994,"167,406km, Van, 1990cc petrol engine, automatic",
Mercedes-Benz E 43 AMG 4MATIC - NZ New 2017,"2,500km, Sedan, 2996cc petrol engine, automatic","$148,990"
Ford Transit SWB Mroof 2010,"97,252km, Van, 2399cc diesel engine, manual","$18,730"
Mercedes-Benz GLE 450 AMG 4MATIC - NZ New 2016,"38,000km, RV/SUV, 2996cc petrol engine, automatic","$109,990"
Mercedes-Benz GLC 250 Petrol - NZ New 2017,"1,800km, RV/SUV, 1991cc petrol engine, automatic","$94,990"
Mercedes-Benz C 43 AMG 4MATIC Cabriolet 2017,"4,200km, Convertible, 2996cc petrol engine, automatic","$104,990"
Mercedes-Benz CLA 200 Shooting Brake - NZ New 2017,"6,900km, Station Wagon, 1595cc petrol engine, automatic","$54,990"
Nissan March 12X 2010,"81,200km, Hatchback, 1198cc petrol engine, automatic","$6,850"
MINI Cooper 2005,"125,618km, Hatchback, 1590cc petrol engine, manual",
BMW 320i low km 2008,"52,000km, Sedan, 2000cc petrol engine, automatic",
Audi A4 2.0 Turbo Quattro S-Line Avant 2010,"127,000km, Station Wagon, 2000cc petrol engine, tiptronic",
Nissan March low km 2005,"72,000km, Hatchback, 1240cc petrol engine, automatic",
Toyota Estima Area G package 2004,"137,000km, Van, 2400cc petrol engine, automatic",
Toyota Sienta 7 seater 2004,"94,000km, Station Wagon, 1500cc petrol engine, automatic",
Nissan March 2008 low km 2007,"32,500km, Hatchback, 1500cc petrol engine, automatic",
Honda Stream 7 seater low km 2005,"38,000km, Station Wagon, 1700cc petrol engine, automatic",
Ford Focus Hatch 2.0L Manual 2009,"59,000km, Hatchback, 2000cc petrol engine, manual",
Lexus IS 250 V6 Hi-Spec Leather 2007,"99,900km, Sedan, 2500cc petrol engine, automatic",
Volkswagen Golf NZ NEW Highline TSI 118Kw 2010,"61,000km, Hatchback, 1390cc petrol engine, automatic",
Toyota Harrier AIRs 2005,"118,000km, RV/SUV, 2990cc petrol engine, automatic","$13,500 "
Toyota Platz Pearl White 2004,"60,055km, Sedan, 997cc petrol engine, automatic",
